[2019-07-19 00:32:46] [INFO] (['AU1912'], '5m', 1, 33950.9999999999, ' time:', 5.883280038833618)
[2019-07-19 00:32:46] [INFO] (['BU1906'], '5m', 1, -9661.937390856692, ' time:', 6.410978078842163)
[2019-07-19 00:32:47] [INFO] (['AP1910'], '5m', 3, 85386.0, ' time:', 6.717801809310913)
[2019-07-19 00:32:47] [INFO] (['C2001'], '5m', 1, -5322.240001678467, ' time:', 7.138561248779297)
[2019-07-19 00:32:48] [INFO] (['CF2001'], '5m', 1, 38943.239997482306, ' time:', 8.034048080444336)
[2019-07-19 00:32:48] [INFO] (['BU1912'], '5m', 4, -47547.75657353144, ' time:', 8.093014001846313)
[2019-07-19 00:32:48] [INFO] (['CJ1912'], '5m', 1, -17159.399999999998, ' time:', 8.328879117965698)
[2019-07-19 00:32:49] [INFO] (['CU1906'], '5m', 0, -53.943998637259945, ' time:', 8.99849534034729)
[2019-07-19 00:32:50] [INFO] (['C1909'], '5m', 2, 40230.399985313416, ' time:', 10.013913869857788)
[2019-07-19 00:32:50] [INFO] (['CU1907'], '5m', 1, -3267.6449970280373, ' time:', 10.067883253097534)
[2019-07-19 00:32:50] [INFO] (['CF1909'], '5m', 1, 131780.38998804096, ' time:', 10.146837711334229)
[2019-07-19 00:32:51] [INFO] (['CS1909'], '5m', 2, -1427.3999999999942, ' time:', 11.084301233291626)
[2019-07-19 00:32:52] [INFO] (['CY2001'], '5m', 0, -26.400000000000002, ' time:', 11.492067575454712)
[2019-07-19 00:32:52] [INFO] (['CU1909'], '5m', 1, 29555.093754923746, ' time:', 12.054744958877563)
[2019-07-19 00:32:53] [INFO] (['CU1908'], '5m', 3, 22435.4820092085, ' time:', 12.514482259750366)
[2019-07-19 00:32:54] [INFO] (['I1907'], '5m', 0, -42.76799891958945, ' time:', 13.475931406021118)
[2019-07-19 00:32:54] [INFO] (['FG1909'], '5m', 1, 51530.600000000006, ' time:', 13.647832870483398)
[2019-07-19 00:32:55] [INFO] (['FU1909'], '5m', 5, -76053.13288855291, ' time:', 15.359852313995361)
[2019-07-19 00:32:56] [INFO] (['I1908'], '5m', 2, 129898.2480076229, ' time:', 16.035465240478516)
[2019-07-19 00:32:56] [INFO] (['HC1910'], '5m', 5, 12290.913030544107, ' time:', 16.34528684616089)
[2019-07-19 00:32:58] [INFO] (['I2001'], '5m', 3, -29129.72299672292, ' time:', 17.46364736557007)
[2019-07-19 00:32:58] [INFO] (['JD1905'], '5m', 1, 68589.50338192738, ' time:', 17.550597429275513)
[2019-07-19 00:32:58] [INFO] (['J2001'], '5m', 1, -6509.163997242285, ' time:', 17.706507921218872)
[2019-07-19 00:32:58] [INFO] (['I1909'], '5m', 4, 49734.77281680505, ' time:', 17.947370290756226)
[2019-07-19 00:33:00] [INFO] (['L2001'], '5m', 1, 1191.1999999999998, ' time:', 19.59442710876465)
[2019-07-19 00:33:00] [INFO] (['J1909'], '5m', 1, -23206.183994791354, ' time:', 20.23006272315979)
[2019-07-19 00:33:01] [INFO] (['JD1909'], '5m', 4, 1333.2825645328267, ' time:', 21.039599418640137)
[2019-07-19 00:33:02] [INFO] (['JM1909'], '5m', 2, -40621.89838934195, ' time:', 21.72520661354065)
[2019-07-19 00:33:02] [INFO] (['M2005'], '5m', 0, -44.550000000000004, ' time:', 22.076005697250366)
[2019-07-19 00:33:02] [INFO] (['M2001'], '5m', 0, -16.5, ' time:', 22.12097978591919)
[2019-07-19 00:33:02] [INFO] (['L1909'], '5m', 2, -6176.000000000002, ' time:', 22.155959844589233)
[2019-07-19 00:33:03] [INFO] (['NI1906'], '5m', 0, -72.60000000000001, ' time:', 23.303825855255127)
[2019-07-19 00:33:04] [INFO] (['MA1911'], '5m', 1, 8496.800000000001, ' time:', 23.56467604637146)
[2019-07-19 00:33:04] [INFO] (['OI1905'], '5m', 1, -5626.400000000001, ' time:', 23.58566379547119)
[2019-07-19 00:33:05] [INFO] (['M1909'], '5m', 3, 177036.3, ' time:', 24.483150005340576)
[2019-07-19 00:33:05] [INFO] (['OI2001'], '5m', 1, -11464.8, ' time:', 24.962875604629517)
[2019-07-19 00:33:06] [INFO] (['PB1907'], '5m', 0, -17.71549955246883, ' time:', 25.47158432006836)
[2019-07-19 00:33:06] [INFO] (['MA1909'], '5m', 3, -37505.39999999998, ' time:', 26.058247804641724)
[2019-07-19 00:33:08] [INFO] (['OI1909'], '5m', 3, -20876.399999999998, ' time:', 27.989142417907715)
[2019-07-19 00:33:10] [INFO] (['PP1909'], '5m', 3, 52446.080411972216, ' time:', 29.799105405807495)
[2019-07-19 00:33:10] [INFO] (['RM2001'], '5m', 2, 38345.250000000015, ' time:', 29.930030584335327)
[2019-07-19 00:33:10] [INFO] (['RB2001'], '5m', 6, -38886.99517961359, ' time:', 30.159898281097412)
[2019-07-19 00:33:10] [INFO] (['RB1910'], '5m', 6, -63672.33396987911, ' time:', 30.225860834121704)
[2019-07-19 00:33:11] [INFO] (['RM1909'], '5m', 4, 111163.5, ' time:', 31.30324411392212)
[2019-07-19 00:33:12] [INFO] (['SF1909'], '5m', 2, -3516.0000000000027, ' time:', 32.2826828956604)
[2019-07-19 00:33:13] [INFO] (['SN1909'], '5m', 1, -179.40000000000003, ' time:', 32.58950757980347)
[2019-07-19 00:33:13] [INFO] (['RU2001'], '5m', 1, -26665.42905174989, ' time:', 32.62148928642273)
[2019-07-19 00:33:13] [INFO] (['SR1905'], '5m', 0, -52.800000000000004, ' time:', 32.93131160736084)
[2019-07-19 00:33:14] [INFO] (['TA1905'], '5m', 0, -115.50000000000001, ' time:', 33.6838812828064)
[2019-07-19 00:33:14] [INFO] (['SM1909'], '5m', 3, -8739.199999999999, ' time:', 33.684879779815674)
[2019-07-19 00:33:14] [INFO] (['RU1909'], '5m', 1, -8699.51965302469, ' time:', 34.38248062133789)
[2019-07-19 00:33:16] [INFO] (['SR2001'], '5m', 2, -10045.199999999997, ' time:', 35.651753425598145)
[2019-07-19 00:33:16] [INFO] (['TA2001'], '5m', 1, 21151.800000000003, ' time:', 36.295384883880615)
[2019-07-19 00:33:17] [INFO] (['TA1907'], '5m', 2, -22363.0, ' time:', 36.44130086898804)
[2019-07-19 00:33:17] [INFO] (['SR1909'], '5m', 3, 119118.60000000003, ' time:', 36.57222628593445)
[2019-07-19 00:33:18] [INFO] (['TA1909'], '5m', 3, 72529.80000000002, ' time:', 37.63062024116516)
[2019-07-19 00:33:18] [INFO] (['Y2001'], '5m', 1, -7913.5, ' time:', 38.209288358688354)
[2019-07-19 00:33:19] [INFO] (['ZC1907'], '5m', 2, -1625.9999999999795, ' time:', 38.800950050354004)
[2019-07-19 00:33:20] [INFO] (['V1909'], '5m', 1, 15423.8, ' time:', 39.660457372665405)
[2019-07-19 00:33:20] [INFO] (['Y1909'], '5m', 2, -18275.0, ' time:', 40.29909157752991)
[2019-07-19 00:33:20] [INFO] (['ZN1906'], '5m', 2, 19701.0, ' time:', 40.31808090209961)
[2019-07-19 00:33:21] [INFO] (['ZN1907'], '5m', 1, 16460.4, ' time:', 40.64589309692383)
[2019-07-19 00:33:21] [INFO] (['ZC1909'], '5m', 4, 26726.40000000029, ' time:', 40.97870230674744)
[2019-07-19 00:33:21] [INFO] (['ZN1908'], '5m', 2, -42915.0, ' time:', 41.079939126968384)
[2019-07-19 00:34:28] [INFO] (['A1909'], '5m', 2, 100909.20000000001, ' time:', 3.3290646076202393)
[2019-07-19 00:34:30] [INFO] (['AG1906'], '5m', 1, 163.25205572813502, ' time:', 4.6424314975738525)
[2019-07-19 00:34:31] [INFO] (['AG1912'], '5m', 3, -4745.185189258918, ' time:', 6.540710687637329)
[2019-07-19 00:34:32] [INFO] (['AL1905'], '5m', 0, -29.700000000000003, ' time:', 6.942058563232422)
[2019-07-19 00:34:35] [INFO] (['AP1905'], '5m', 0, -110.00000000000001, ' time:', 9.672981262207031)
[2019-07-19 00:34:37] [INFO] (['AP1910'], '5m', 3, 85386.0, ' time:', 12.313091039657593)
[2019-07-19 00:34:38] [INFO] (['AU1906'], '5m', 1, 20390.000000000113, ' time:', 13.367703199386597)
[2019-07-19 00:34:40] [INFO] (['AU1912'], '5m', 1, 33950.9999999999, ' time:', 14.731730699539185)
[2019-07-19 00:34:41] [INFO] (['BU1906'], '5m', 1, -9661.937390856692, ' time:', 16.375775575637817)
[2019-07-19 00:34:44] [INFO] (['BU1912'], '5m', 4, -47547.75657353144, ' time:', 19.242891550064087)
[2019-07-19 00:34:48] [INFO] (['C1909'], '5m', 2, 40230.399985313416, ' time:', 23.093714952468872)
[2019-07-19 00:34:49] [INFO] (['C2001'], '5m', 1, -5322.240001678467, ' time:', 24.22072196006775)
